id,text
149add2c-d096-4d3d-88fb-879a027d0bbd,The study observed the decay of subatomic particles within a heavy water tank.
b017fa4e-7432-422c-8cc7-cfc825f48cc7,Quantum entanglement implies that two particles remain linked across any distance.
e09bf0e5-2b47-4a61-b7ba-70b3055dbc8b,The kinetic energy of the system increases with the square of the velocity.
6b2e27a4-8dde-479c-bef5-0723b4299acf,General relativity posits that gravity is a result of spacetime curvature.
3a396997-d496-46e6-9dd9-b0c862f02af0,The laboratory protocols require strict adherence to the laws of thermodynamics.
d0e74ce1-8026-4ca2-9378-60cfa4b5cede,Wave-particle duality is a fundamental concept in modern quantum mechanics.
96ff6c2d-ceae-4f0c-9f35-7754590c682d,The gravitational constant was measured using a highly sensitive torsion balance.
86c1ebe8-88f8-4e1e-94e6-130c7cbe18c9,Entropy in an isolated system will always increase over time.
62979cf2-e8f5-43e1-b832-850bf781afb6,The Higgs boson explains how fundamental particles acquire their mass.
df876885-f1ac-4b89-aae9-f9a3015e8a6b,Nuclear fusion in a star's core produces energy through the synthesis of helium.
1cc07c12-f9da-47ed-b18d-3124101825f3,The velocity of a projectile is a vector quantity defined by magnitude and direction.
79040704-bcf8-4a7c-9a2a-a28198082ee7,Superconductors exhibit zero electrical resistance at temperatures near absolute zero.
4010c556-78b3-445f-9f1a-0de90054a895,Dark matter is a hypothetical substance that accounts for galaxy rotation curves.
3c1f372b-0c43-4706-af92-7c2ca3c6157c,The wavelength of light determines its position in the electromagnetic spectrum.
ba0d774e-6acf-4e7f-8732-07948208ae09,Heisenberg's uncertainty principle sets a limit on the precision of physical variables.
32c90ab6-b846-4eec-9e9b-2be12e31dd13,The strong nuclear force holds protons and neutrons together in the nucleus.
237fc033-1562-4f69-aca1-1df63091faec,Thermodynamics defines the relationship between heat
f3673ffe-11ae-43df-9f6a-911a66033f0b,The photoelectric effect demonstrates that light can behave as a stream of photons.
114d8994-d455-48e1-89a3-b742428cb868,Electrons orbit the atomic nucleus in discrete energy levels or shells.
1ec7a29e-42fb-4162-96e0-bd8ce9b6fbd5,Black holes are regions of space where the gravitational pull prevents light escape.
ea6f167d-c853-46be-984b-e366f2a06e5b,Centripetal force is required to keep an object moving in a circular path.
611e0012-c487-4eb3-a0a8-f3c4e7e8915e,The refractive index of the glass determines how much the light beam bends.
c6d9a2ed-45b1-4970-8616-50e1295e7c59,String theory attempts to unify all fundamental forces into a single framework.
9db77edb-57ec-46ef-bcfd-6c617ccea70f,The half-life of a radioactive isotope is independent of the initial mass.
e91bfb7a-7aae-4fb3-ae80-f5737bea4ae2,Isotropic materials show the same physical properties in all directions.
87238edc-b797-4db5-97d1-68c5bfa2c255,Plasma is often called the fourth state of matter due to its ionized particles.
f9504682-40ff-455c-8f26-4b2e21065f4f,The Doppler effect causes a shift in frequency for a source moving toward an observer.
0082b12f-1bf1-4359-9285-91b1e17d2de0,Newtonian mechanics fails to describe motion at speeds approaching light.
47e7ce62-18aa-4624-99c6-aa2fb3cc6f2f,Laminar flow occurs when a fluid moves in smooth
5ace494f-bb35-4d96-a6aa-ff8040635d62,The magnetic field strength was measured in Tesla using a Hall effect sensor.
bdaa2b51-b879-483b-9908-8495f93dbe12,Conduction is the transfer of thermal energy through direct molecular contact.
1bc6ed95-2b2c-495e-84e5-b7074649d715,The Pauli exclusion principle states two fermions cannot occupy the same state.
5b6af05d-6aef-492a-8fc4-a4a015253af6,Osmosis involves the movement of solvent molecules through a semi-permeable membrane.
b90cf991-9b2e-418c-a73c-761acdb8d128,The luminosity of a star is proportional to its surface area and temperature.
e9f30047-23f3-49e4-8f98-a04e245571b0,Angular momentum is conserved in a system where no external torque is applied.
f16d3472-9c90-4f7e-9c14-66aca846cf4a,The cosmic microwave background is a remnant of the early universe's heat.
5f4720dd-087c-4f24-bf3d-e4ef18d23789,Diffraction patterns occur when light waves encounter an obstacle or slit.
8d909265-7667-4a25-bd97-2f2b009dec5f,The specific heat capacity of water is higher than that of most metals.
3239911b-a3c7-46dd-a378-8f39996b19b7,Standard model particles are divided into quarks
67764655-3bcf-43f5-ac18-f121e5286979,The principle of superposition allows waves to pass through each other.
9794066f-beec-438c-aedc-91cb31d5ea1f,Work is defined as the product of force and displacement in the direction of motion.
3368e2c9-d603-4da7-aaed-3eee82c9bd1a,The latent heat of vaporization is the energy required to change liquid to gas.
7a2f54c8-f293-47fc-8034-c2f7c40314d4,Galilean invariance holds that the laws of physics are the same in all inertial frames.
4291a21e-1898-4ce1-853c-2e9f62efaba7,The Schwarzschild radius defines the event horizon of a non-rotating black hole.
41f63857-c5d9-4729-8f95-e3cee8e65ecd,Semiconductors have electrical conductivity between that of a conductor and insulator.
88161805-415e-4725-8d49-cbcca06dfa9a,The torque produced by the motor was sufficient to overcome static friction.
98632922-01f6-4e2c-a3a9-e273e681fcf0,A vacuum is a space devoid of matter where the pressure is significantly low.
86b2ad24-26cb-4f92-9d17-ef032fb1fe67,The oscillation of the pendulum was damped by the air resistance.
1604716d-fc4b-4a25-83b0-a29e524c59cb,Faraday's law describes how a changing magnetic field induces an electric current.
620daf43-8a0f-4362-bc40-1c38c19a26bf,The density of an object determines whether it will float or sink in a fluid.
2045b448-341a-431c-8faf-8a67159ac78f,Capacitance is the ability of a system to store an electric charge.
73ce2671-34a4-4d5a-9033-c0b3fb32c2dd,The Redshift of distant galaxies provides evidence for the expansion of the universe.
f485558e-1121-4982-8952-a1f11697a543,An alpha particle consists of two protons and two neutrons bound together.
40ff878a-86be-427c-924b-fa88fc606887,The Joule-Thomson effect describes the temperature change of a gas during expansion.
aca7da0a-6bcd-46ff-8de4-75144b2a11d3,Kinematics is the branch of mechanics concerned with the motion of objects.
ecae706a-07cd-42ee-923a-3edaded15731,The spring constant was determined by plotting force against displacement.
5b15c66b-1aa8-4ef3-881c-4a59f645d0b1,Total internal reflection occurs when the angle of incidence exceeds the critical angle.
7e3f4e51-9d6a-4bdd-a3ab-0141c8832a46,The flux of the magnetic field through the loop was calculated using calculus.
aef430ea-f123-4619-8ee5-132b73f0279f,Covalent bonds involve the sharing of electron pairs between atoms.
d38ea7e6-91db-473d-ade9-79bf0a113f4a,The molar mass of the compound was calculated using the periodic table.
6db6b5f9-a1a8-44c2-a83e-c6394bc2759d,Inertia is the tendency of an object to resist changes in its state of motion.
